JustinAnderson,KevinHuerter,OmariSpellman,IsaacHumphries,JaylenAdams,TraeYoung,TaureanPrince,DewayneDedmon,VinceCarter,MilesPlumlee,JohnCollins,AlexPoythress,KentBazemore,AlexLen,DeAndre'Bembry
0.0,0.08,0.168,0.0,0.08,0.236,0.282,0.0,0.208,0.13,0.0,0.214,0.181,0.187,0.098
0.0,0.099,0.0,0.0,0.0,0.265,0.351,0.0,0.174,0.232,0.0,0.115,0.132,0.159,0.238
0.0,0.129,0.173,0.0,0.0,0.265,0.28,0.0,0.148,0.0,0.0,0.084,0.205,0.183,0.252
0.0,0.132,0.172,0.0,0.0,0.387,0.22,0.115,0.077,0.0,0.0,0.073,0.299,0.161,0.198
0.0,0.113,0.179,0.0,0.0,0.288,0.264,0.171,0.188,0.0,0.0,0.0,0.189,0.181,0.162
0.0,0.109,0.229,0.0,0.158,0.187,0.243,0.153,0.168,0.223,0.0,0.0,0.248,0.207,0.174
0.0,0.232,0.099,0.0,0.143,0.246,0.269,0.134,0.168,0.0,0.0,0.0,0.204,0.213,0.133
0.0,0.333,0.057,0.0,0.0,0.312,0.215,0.144,0.095,0.0,0.0,0.177,0.183,0.226,0.192
0.0,0.148,0.08,0.0,0.0,0.331,0.241,0.248,0.184,0.0,0.0,0.124,0.195,0.131,0.214
0.0,0.087,0.136,0.0,0.0,0.357,0.0,0.267,0.09,0.0,0.0,0.172,0.218,0.316,0.091
0.0,0.0,0.166,0.0,0.0,0.265,0.235,0.093,0.154,0.189,0.0,0.23,0.262,0.253,0.087
0.0,0.076,0.185,0.0,0.0,0.331,0.132,0.189,0.133,0.249,0.0,0.131,0.17,0.304,0.283
0.0,0.179,0.114,0.0,0.0,0.269,0.214,0.0,0.128,0.107,0.0,0.106,0.184,0.284,0.169
0.0,0.186,0.122,0.0,0.0,0.227,0.182,0.0,0.199,0.193,0.0,0.103,0.294,0.143,0.229
0.0,0.163,0.233,0.0,0.0,0.24,0.0,0.0,0.153,0.163,0.0,0.156,0.218,0.276,0.206
0.0,0.152,0.121,0.0,0.0,0.28,0.0,0.192,0.253,0.0,0.38,0.0,0.217,0.166,0.214
0.167,0.187,0.158,0.0,0.0,0.325,0.193,0.267,0.136,0.0,0.214,0.0,0.088,0.181,0.097
0.198,0.15,0.0,0.0,0.0,0.177,0.251,0.131,0.309,0.175,0.183,0.0,0.228,0.0,0.201
0.302,0.082,0.115,0.0,0.0,0.238,0.225,0.143,0.154,0.0,0.21,0.0,0.086,0.279,0.299
0.0,0.079,0.12,0.0,0.0,0.338,0.185,0.097,0.0,0.0,0.262,0.0,0.18,0.229,0.158
0.124,0.186,0.191,0.0,0.0,0.245,0.199,0.1,0.0,0.0,0.207,0.0,0.25,0.169,0.253
0.27,0.127,0.153,0.0,0.0,0.322,0.175,0.188,0.189,0.0,0.173,0.0,0.247,0.0,0.208
0.253,0.095,0.157,0.0,0.0,0.242,0.189,0.228,0.0,0.227,0.197,0.0,0.207,0.225,0.169
0.33,0.139,0.057,0.0,0.0,0.446,0.182,0.103,0.188,0.11,0.222,0.0,0.172,0.0,0.138
0.0,0.109,0.0,0.0,0.0,0.261,0.0,0.21,0.167,0.291,0.224,0.0,0.231,0.137,0.181
0.202,0.099,0.0,0.0,0.0,0.216,0.0,0.11,0.287,0.0,0.255,0.0,0.206,0.257,0.24
0.154,0.187,0.0,0.0,0.17,0.238,0.0,0.101,0.134,0.0,0.301,0.0,0.239,0.089,0.183
0.0,0.179,0.0,0.0,0.0,0.282,0.0,0.165,0.223,0.0,0.229,0.0,0.173,0.348,0.115
0.333,0.077,0.0,0.0,0.333,0.224,0.0,0.187,0.115,0.0,0.324,0.0,0.245,0.164,0.206
0.0,0.181,0.0,0.0,0.0,0.292,0.0,0.153,0.15,0.0,0.307,0.0,0.162,0.227,0.114
0.0,0.189,0.0,0.0,0.0,0.21,0.0,0.12,0.118,0.0,0.225,0.0,0.288,0.269,0.146
0.096,0.117,0.0,0.0,0.0,0.294,0.0,0.189,0.212,0.0,0.0,0.143,0.183,0.258,0.134
0.148,0.137,0.189,0.0,0.0,0.235,0.0,0.204,0.14,0.0,0.241,0.0,0.349,0.0,0.104
0.084,0.188,0.0,0.0,0.0,0.215,0.0,0.247,0.225,0.0,0.198,0.182,0.316,0.0,0.101
0.102,0.181,0.0,0.0,0.0,0.226,0.0,0.0,0.232,0.202,0.213,0.194,0.198,0.228,0.205
0.216,0.184,0.0,0.0,0.0,0.242,0.0,0.0,0.184,0.128,0.187,0.0,0.0,0.305,0.136
0.233,0.154,0.0,0.0,0.0,0.19,0.0,0.151,0.155,0.0,0.282,0.0,0.0,0.301,0.173
0.224,0.163,0.0,0.0,0.0,0.168,0.0,0.319,0.173,0.0,0.189,0.0,0.0,0.265,0.264
0.4,0.222,0.2,0.0,0.0,0.293,0.0,0.13,0.128,0.0,0.136,0.0,0.0,0.188,0.224
0.065,0.0,0.0,0.0,0.0,0.296,0.0,0.289,0.277,0.0,0.177,0.0,0.0,0.075,0.206
0.0,0.164,0.0,0.0,0.0,0.284,0.0,0.104,0.113,0.0,0.258,0.0,0.0,0.197,0.083
0.111,0.212,0.376,0.0,0.0,0.225,0.0,0.166,0.094,0.0,0.261,0.0,0.0,0.347,0.149
0.228,0.13,0.145,0.0,0.0,0.294,0.201,0.0,0.166,0.0,0.199,0.0,0.0,0.227,0.254
0.0,0.148,0.144,0.0,0.108,0.324,0.188,0.0,0.251,0.0,0.214,0.0,0.0,0.222,0.136
0.0,0.223,0.081,0.0,0.0,0.288,0.266,0.109,0.098,0.0,0.155,0.0,0.0,0.227,0.187
0.0,0.0,0.085,0.0,0.0,0.279,0.184,0.263,0.114,0.0,0.242,0.0,0.0,0.249,0.153
0.198,0.0,0.161,0.0,0.0,0.206,0.163,0.216,0.0,0.0,0.277,0.0,0.0,0.239,0.081
0.0,0.215,0.139,0.0,0.0,0.302,0.165,0.167,0.175,0.0,0.2,0.0,0.0,0.277,0.114
0.0,0.174,0.11,0.0,0.0,0.264,0.149,0.139,0.193,0.0,0.196,0.0,0.0,0.315,0.13
0.113,0.16,0.125,0.0,0.0,0.267,0.136,0.145,0.143,0.0,0.303,0.0,0.164,0.279,0.222
0.0,0.134,0.216,0.0,0.0,0.27,0.15,0.159,0.031,0.0,0.314,0.0,0.313,0.159,0.159
0.0,0.145,0.068,0.0,0.0,0.335,0.089,0.159,0.0,0.0,0.273,0.0,0.22,0.225,0.123
0.0,0.136,0.179,0.0,0.0,0.252,0.181,0.217,0.248,0.0,0.294,0.0,0.235,0.096,0.099
0.17,0.128,0.137,0.0,0.68,0.323,0.158,0.189,0.221,0.0,0.201,0.0,0.262,0.189,0.113
0.0,0.141,0.156,0.0,0.0,0.296,0.176,0.129,0.122,0.0,0.232,0.0,0.327,0.203,0.141
0.185,0.219,0.138,0.0,0.0,0.257,0.12,0.14,0.0,0.0,0.292,0.0,0.261,0.295,0.07
0.0,0.139,0.199,0.0,0.0,0.299,0.192,0.169,0.093,0.0,0.217,0.0,0.219,0.253,0.156
