JeffTeague,BrandonGoodwin,TreveonGraham,KevinHuerter,CharlieBrownJr.,SkalLabissiere,TraeYoung,De'AndreHunter,DewayneDedmon,VinceCarter,ClintCapela,JohnCollins,CamReddish,BrunoFernando,DamianJones,DeAndre'Bembry
0.0,0.0,0.0,0.192,0.0,0.0,0.373,0.179,0.0,0.144,0.0,0.209,0.146,0.204,0.0,0.095
0.0,0.0,0.0,0.185,0.0,0.0,0.391,0.109,0.0,0.122,0.0,0.168,0.188,0.229,0.085,0.188
0.0,0.0,0.0,0.117,0.0,0.0,0.364,0.206,0.0,0.221,0.0,0.196,0.137,0.232,0.057,0.147
0.0,0.0,0.0,0.253,0.0,0.0,0.304,0.153,0.0,0.212,0.0,0.247,0.264,0.113,0.056,0.122
0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.194,0.0,0.123,0.0,0.175,0.209,0.095,0.094,0.267
0.0,0.0,0.0,0.189,0.0,0.0,0.431,0.166,0.0,0.168,0.0,0.0,0.122,0.137,0.09,0.244
0.0,0.0,0.0,0.231,0.153,0.0,0.232,0.141,0.0,0.251,0.0,0.0,0.235,0.161,0.032,0.19
0.0,0.0,0.0,0.152,0.0,0.0,0.315,0.153,0.0,0.09,0.0,0.0,0.189,0.172,0.275,0.155
0.0,0.0,0.0,0.22,0.0,0.0,0.409,0.152,0.0,0.0,0.0,0.0,0.157,0.143,0.117,0.071
0.0,0.0,0.0,0.148,0.0,0.0,0.335,0.121,0.0,0.0,0.0,0.0,0.182,0.169,0.114,0.081
0.0,0.0,0.0,0.0,0.126,0.0,0.275,0.208,0.0,0.0,0.0,0.0,0.212,0.134,0.26,0.041
0.0,0.0,0.0,0.0,0.093,0.0,0.308,0.257,0.0,0.0,0.0,0.0,0.208,0.108,0.185,0.167
0.0,0.0,0.0,0.0,0.258,0.0,0.344,0.123,0.0,0.0,0.0,0.0,0.261,0.19,0.07,0.146
0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.243,0.0,0.232,0.0,0.0,0.228,0.124,0.146,0.044
0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.222,0.0,0.395,0.0,0.0,0.0,0.037,0.103,0.174
0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.261,0.0,0.157,0.0,0.0,0.0,0.139,0.076,0.126
0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.156,0.0,0.093,0.0,0.0,0.148,0.211,0.091,0.118
0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.167,0.0,0.128,0.0,0.0,0.105,0.124,0.16,0.107
0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.144,0.0,0.179,0.0,0.0,0.277,0.188,0.152,0.144
0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.235,0.0,0.19,0.0,0.0,0.0,0.196,0.144,0.24
0.0,0.155,0.0,0.0,0.0,0.0,0.336,0.235,0.0,0.18,0.0,0.0,0.228,0.065,0.202,0.08
0.0,0.25,0.0,0.061,0.0,0.0,0.361,0.0,0.0,0.087,0.0,0.0,0.182,0.0,0.179,0.117
0.0,0.0,0.0,0.102,0.0,0.0,0.306,0.151,0.0,0.26,0.0,0.0,0.129,0.145,0.06,0.224
0.0,0.0,0.0,0.144,0.0,0.0,0.286,0.223,0.0,0.212,0.0,0.0,0.285,0.118,0.074,0.231
0.0,0.0,0.0,0.195,0.0,0.0,0.309,0.155,0.0,0.228,0.0,0.0,0.256,0.158,0.204,0.108
0.0,0.0,0.0,0.153,0.0,0.0,0.37,0.24,0.0,0.06,0.0,0.0,0.124,0.0,0.148,0.0
0.0,0.0,0.0,0.18,0.0,0.0,0.346,0.161,0.0,0.188,0.0,0.0,0.219,0.113,0.119,0.0
0.0,0.0,0.0,0.202,0.0,0.0,0.338,0.277,0.0,0.175,0.0,0.0,0.144,0.0,0.08,0.03
0.0,0.0,0.0,0.206,0.0,0.0,0.355,0.127,0.0,0.0,0.0,0.0,0.181,0.195,0.0,0.1
0.0,0.0,0.0,0.164,0.0,0.0,0.384,0.129,0.0,0.129,0.0,0.0,0.152,0.119,0.0,0.187
0.0,0.0,0.0,0.165,0.0,0.0,0.33,0.233,0.0,0.148,0.0,0.24,0.156,0.149,0.045,0.063
0.0,0.163,0.0,0.196,0.0,0.0,0.346,0.189,0.0,0.039,0.0,0.251,0.178,0.241,0.127,0.26
0.0,0.186,0.0,0.237,0.0,0.0,0.0,0.193,0.0,0.21,0.0,0.408,0.095,0.188,0.037,0.145
0.0,0.304,0.0,0.28,0.0,0.0,0.0,0.211,0.0,0.081,0.0,0.174,0.123,0.062,0.111,0.147
0.0,0.23,0.0,0.195,0.0,0.0,0.342,0.148,0.0,0.0,0.0,0.269,0.139,0.0,0.0,0.144
0.0,0.171,0.0,0.232,0.0,0.0,0.413,0.076,0.0,0.19,0.0,0.0,0.0,0.153,0.053,0.141
0.0,0.158,0.0,0.177,0.0,0.0,0.269,0.169,0.0,0.104,0.0,0.263,0.153,0.274,0.26,0.094
0.0,0.261,0.0,0.114,0.0,0.0,0.379,0.144,0.0,0.036,0.0,0.2,0.232,0.0,0.0,0.332
0.0,0.23,0.0,0.2,0.0,0.0,0.385,0.143,0.0,0.135,0.0,0.219,0.117,0.0,0.0,0.143
0.0,0.243,0.0,0.192,0.26,0.0,0.0,0.154,0.0,0.179,0.0,0.216,0.304,0.0,0.04,0.238
0.0,0.227,0.0,0.19,0.0,0.0,0.373,0.224,0.0,0.091,0.0,0.235,0.12,0.0,0.139,0.092
0.0,0.198,0.0,0.252,0.0,0.0,0.28,0.148,0.0,0.184,0.0,0.251,0.197,0.177,0.075,0.111
0.24,0.361,0.169,0.144,0.0,0.0,0.31,0.19,0.0,0.262,0.0,0.313,0.13,0.113,0.076,0.105
0.189,0.2,0.0,0.174,0.0,0.0,0.355,0.189,0.0,0.183,0.0,0.162,0.178,0.198,0.077,0.128
0.113,0.353,0.083,0.159,0.0,0.0,0.0,0.206,0.0,0.224,0.0,0.267,0.184,0.188,0.258,0.0
0.177,0.245,0.167,0.084,0.3,0.0,0.333,0.205,0.0,0.162,0.0,0.291,0.219,0.094,0.12,0.0
0.119,0.325,0.0,0.121,0.0,0.0,0.35,0.217,0.0,0.102,0.0,0.21,0.189,0.21,0.102,0.0
0.205,0.172,0.0,0.128,0.558,0.0,0.302,0.155,0.0,0.21,0.0,0.246,0.253,0.0,0.067,0.0
0.277,0.0,0.134,0.109,0.0,0.0,0.389,0.167,0.0,0.186,0.0,0.159,0.157,0.0,0.166,0.0
0.184,0.237,0.067,0.15,0.436,0.0,0.294,0.0,0.0,0.23,0.0,0.301,0.176,0.0,0.103,0.0
0.216,0.052,0.19,0.233,0.0,0.0,0.404,0.0,0.0,0.172,0.0,0.161,0.0,0.0,0.081,0.0
0.178,0.204,0.109,0.113,0.0,0.0,0.347,0.169,0.0,0.101,0.0,0.242,0.0,0.154,0.169,0.0
0.119,0.326,0.142,0.253,0.0,0.0,0.0,0.106,0.0,0.186,0.0,0.291,0.0,0.0,0.109,0.0
0.119,0.304,0.185,0.148,0.0,0.0,0.383,0.144,0.214,0.333,0.0,0.196,0.0,0.166,0.0,0.0
0.188,0.357,0.0,0.21,0.0,0.0,0.383,0.104,0.147,0.117,0.0,0.199,0.18,0.0,0.089,0.0
0.122,0.09,0.063,0.22,0.0,0.0,0.301,0.206,0.158,0.145,0.0,0.228,0.275,0.082,0.104,0.0
0.168,0.255,0.0,0.186,0.0,0.0,0.424,0.172,0.046,0.102,0.0,0.163,0.141,0.167,0.0,0.0
0.302,0.289,0.121,0.127,0.0,0.0,0.271,0.0,0.157,0.035,0.0,0.255,0.223,0.118,0.0,0.0
0.168,0.0,0.242,0.127,0.0,0.0,0.307,0.216,0.183,0.0,0.0,0.194,0.211,0.153,0.0,0.0
0.183,0.145,0.0,0.217,0.0,0.0,0.371,0.136,0.0,0.225,0.0,0.223,0.163,0.144,0.051,0.0
0.154,0.259,0.157,0.118,0.0,0.0,0.298,0.13,0.0,0.188,0.0,0.286,0.187,0.177,0.0,0.0
0.171,0.15,0.203,0.159,0.0,0.0,0.269,0.172,0.0,0.22,0.0,0.208,0.186,0.187,0.0,0.0
0.316,0.174,0.142,0.17,0.0,0.0,0.359,0.147,0.0,0.221,0.0,0.211,0.0,0.143,0.094,0.0
0.159,0.182,0.103,0.174,0.0,0.0,0.0,0.197,0.234,0.134,0.0,0.267,0.342,0.032,0.0,0.0
0.211,0.326,0.128,0.156,0.0,0.0,0.313,0.213,0.21,0.161,0.0,0.195,0.199,0.059,0.0,0.0
0.13,0.0,0.172,0.139,0.0,0.0,0.351,0.1,0.247,0.189,0.0,0.183,0.201,0.143,0.0,0.0
0.219,0.0,0.166,0.118,0.0,0.0,0.381,0.15,0.128,0.166,0.0,0.226,0.187,0.081,0.0,0.0
