BrandonGoodwin,NathanKnight,KevinHuerter,SkylarMays,LouWilliams,DaniloGallinari,TraeYoung,De'AndreHunter,BogdanBogdanovic,ClintCapela,OnyekaOkongwu,SolomonHill,TonySnell,JohnCollins,CamReddish,BrunoFernando,KrisDunn
0.16,0.364,0.172,0.091,0.0,0.187,0.336,0.121,0.246,0.0,0.0,0.089,0.0,0.227,0.228,0.156,0.0
0.207,0.303,0.224,0.0,0.0,0.0,0.364,0.151,0.146,0.0,0.0,0.151,0.0,0.194,0.136,0.073,0.0
0.0,0.0,0.179,0.0,0.0,0.0,0.293,0.192,0.17,0.138,0.0,0.187,0.0,0.219,0.205,0.113,0.0
0.0,0.0,0.106,0.0,0.0,0.254,0.368,0.147,0.207,0.173,0.0,0.159,0.0,0.276,0.2,0.064,0.0
0.115,0.0,0.215,0.0,0.0,0.0,0.345,0.154,0.159,0.173,0.0,0.167,0.0,0.231,0.194,0.0,0.0
0.13,0.0,0.215,0.0,0.0,0.0,0.272,0.222,0.24,0.214,0.0,0.091,0.0,0.167,0.098,0.126,0.0
0.05,0.0,0.166,0.0,0.0,0.0,0.41,0.19,0.092,0.121,0.0,0.074,0.0,0.21,0.184,0.0,0.0
0.219,0.167,0.193,0.0,0.0,0.0,0.207,0.207,0.118,0.137,0.0,0.112,0.0,0.283,0.237,0.0,0.0
0.252,0.0,0.173,0.0,0.0,0.0,0.284,0.168,0.268,0.15,0.0,0.114,0.0,0.133,0.294,0.0,0.0
0.248,0.198,0.169,0.182,0.0,0.0,0.331,0.208,0.0,0.265,0.0,0.145,0.176,0.135,0.143,0.14,0.0
0.297,0.0,0.206,0.0,0.0,0.0,0.248,0.235,0.0,0.146,0.223,0.065,0.138,0.235,0.244,0.254,0.0
0.211,0.0,0.16,0.0,0.0,0.0,0.351,0.163,0.0,0.226,0.0,0.126,0.118,0.15,0.0,0.0,0.0
0.21,0.0,0.183,0.0,0.0,0.0,0.248,0.26,0.0,0.222,0.0,0.133,0.07,0.132,0.0,0.0,0.0
0.092,0.074,0.147,0.0,0.0,0.0,0.339,0.0,0.0,0.255,0.076,0.093,0.126,0.282,0.0,0.0,0.0
0.102,0.0,0.1,0.0,0.0,0.247,0.447,0.18,0.0,0.189,0.205,0.048,0.0,0.139,0.272,0.34,0.0
0.149,0.0,0.185,0.0,0.0,0.301,0.0,0.297,0.0,0.0,0.082,0.145,0.125,0.247,0.183,0.0,0.0
0.132,0.0,0.149,0.0,0.0,0.22,0.381,0.245,0.0,0.191,0.0,0.041,0.174,0.152,0.0,0.0,0.0
0.102,0.0,0.145,0.0,0.0,0.23,0.307,0.16,0.0,0.155,0.0,0.044,0.0,0.185,0.262,0.0,0.0
0.0,0.0,0.137,0.0,0.0,0.291,0.332,0.222,0.0,0.203,0.16,0.112,0.127,0.187,0.15,0.0,0.0
0.0,0.0,0.102,0.0,0.0,0.31,0.316,0.0,0.0,0.194,0.0,0.173,0.0,0.243,0.14,0.155,0.0
0.0,0.0,0.186,0.0,0.0,0.319,0.266,0.0,0.0,0.172,0.0,0.049,0.111,0.241,0.183,0.0,0.0
0.271,0.248,0.216,0.331,0.0,0.198,0.0,0.0,0.0,0.235,0.0,0.101,0.099,0.255,0.228,0.248,0.0
0.0,0.0,0.143,0.0,0.0,0.165,0.328,0.0,0.0,0.25,0.169,0.202,0.109,0.218,0.113,0.0,0.0
0.228,0.0,0.209,0.0,0.0,0.223,0.277,0.0,0.0,0.18,0.167,0.184,0.063,0.24,0.147,0.0,0.0
0.286,0.199,0.167,0.283,0.0,0.113,0.332,0.0,0.0,0.221,0.102,0.136,0.107,0.253,0.181,0.143,0.0
0.192,0.0,0.148,0.135,0.0,0.271,0.198,0.0,0.0,0.266,0.0,0.15,0.0,0.23,0.192,0.0,0.0
0.0,0.0,0.172,0.309,0.0,0.151,0.294,0.0,0.0,0.166,0.0,0.114,0.0,0.185,0.214,0.0,0.0
0.0,0.0,0.106,0.111,0.0,0.272,0.407,0.0,0.0,0.255,0.0,0.054,0.083,0.225,0.116,0.114,0.0
0.076,0.0,0.11,0.084,0.0,0.321,0.289,0.0,0.0,0.211,0.0,0.139,0.161,0.22,0.196,0.042,0.0
0.0,0.0,0.125,0.244,0.0,0.197,0.342,0.0,0.0,0.208,0.273,0.065,0.132,0.218,0.152,0.0,0.0
0.0,0.0,0.167,0.257,0.0,0.151,0.409,0.0,0.0,0.161,0.086,0.088,0.115,0.228,0.0,0.0,0.0
0.405,0.202,0.144,0.103,0.0,0.268,0.364,0.0,0.0,0.187,0.143,0.112,0.133,0.223,0.0,0.101,0.0
0.0,0.0,0.183,0.278,0.0,0.17,0.317,0.0,0.0,0.182,0.25,0.13,0.043,0.27,0.0,0.0,0.0
0.0,0.0,0.184,0.25,0.0,0.236,0.283,0.0,0.0,0.214,0.0,0.05,0.085,0.285,0.0,0.0,0.0
0.0,0.0,0.241,0.0,0.0,0.176,0.309,0.0,0.175,0.236,0.168,0.13,0.096,0.268,0.0,0.0,0.0
0.0,0.0,0.172,0.0,0.0,0.219,0.335,0.0,0.207,0.0,0.126,0.164,0.085,0.257,0.0,0.337,0.0
0.0,0.0,0.21,0.0,0.0,0.185,0.393,0.0,0.208,0.137,0.044,0.131,0.059,0.255,0.0,0.0,0.0
0.0,1.064,0.122,0.0,0.0,0.169,0.343,0.0,0.269,0.277,0.096,0.021,0.066,0.238,0.0,0.0,0.0
0.375,0.223,0.136,0.25,0.0,0.279,0.225,0.0,0.191,0.0,0.0,0.019,0.073,0.307,0.0,0.0,0.0
0.0,0.244,0.194,0.0,0.0,0.211,0.299,0.0,0.206,0.0,0.0,0.055,0.1,0.235,0.0,0.0,0.0
0.286,0.22,0.223,0.143,0.0,0.187,0.336,0.0,0.209,0.149,0.0,0.174,0.086,0.183,0.0,0.4,0.0
0.0,0.063,0.188,0.0,0.0,0.201,0.266,0.0,0.178,0.301,0.222,0.196,0.061,0.237,0.0,0.0,0.0
0.0,0.0,0.136,0.0,0.0,0.155,0.324,0.151,0.226,0.153,0.338,0.091,0.138,0.258,0.0,0.0,0.0
0.0,0.167,0.177,0.0,0.0,0.251,0.346,0.162,0.185,0.25,0.0,0.0,0.04,0.149,0.0,0.0,0.0
0.667,0.0,0.188,0.143,0.0,0.242,0.287,0.0,0.216,0.203,0.102,0.091,0.04,0.302,0.0,0.0,0.0
0.287,0.287,0.207,0.223,0.0,0.243,0.313,0.0,0.192,0.192,0.044,0.117,0.044,0.218,0.0,0.098,0.0
0.095,0.271,0.207,0.0,0.0,0.221,0.319,0.0,0.25,0.159,0.1,0.137,0.114,0.168,0.0,0.0,0.0
0.231,0.0,0.127,0.0,0.239,0.193,0.451,0.0,0.183,0.222,0.305,0.076,0.056,0.0,0.0,0.0,0.0
0.198,0.196,0.226,0.245,0.234,0.0,0.0,0.0,0.263,0.2,0.174,0.12,0.095,0.0,0.0,0.4,0.0
0.0,0.0,0.16,0.0,0.296,0.25,0.309,0.0,0.156,0.235,0.18,0.135,0.062,0.0,0.0,0.0,0.0
0.258,0.387,0.205,0.0,0.239,0.235,0.399,0.0,0.2,0.16,0.173,0.089,0.092,0.0,0.0,0.174,0.0
0.202,0.193,0.194,0.162,0.276,0.0,0.239,0.0,0.253,0.0,0.167,0.127,0.102,0.0,0.0,0.081,0.0
0.0,0.0,0.108,0.0,0.226,0.286,0.451,0.0,0.17,0.176,0.128,0.043,0.029,0.0,0.0,0.0,0.0
0.152,0.236,0.224,0.208,0.181,0.0,0.0,0.0,0.296,0.233,0.141,0.103,0.0,0.0,0.0,0.0,0.0
0.219,0.24,0.191,0.151,0.229,0.0,0.0,0.0,0.232,0.197,0.15,0.128,0.0,0.0,0.0,0.0,0.0
0.101,0.226,0.142,0.0,0.178,0.0,0.323,0.0,0.243,0.15,0.178,0.15,0.0,0.0,0.0,0.0,0.0
0.097,0.0,0.151,0.0,0.246,0.0,0.349,0.0,0.198,0.249,0.108,0.109,0.0,0.165,0.0,0.0,0.0
0.154,0.148,0.185,0.444,0.331,0.0,0.319,0.0,0.234,0.181,0.051,0.04,0.0,0.187,0.0,0.0,0.0
0.175,0.0,0.17,0.0,0.243,0.0,0.291,0.0,0.235,0.197,0.111,0.095,0.0,0.178,0.0,0.0,0.0
0.281,0.085,0.141,0.0,0.285,0.284,0.0,0.0,0.221,0.0,0.132,0.109,0.0,0.268,0.0,0.0,0.0
0.125,0.0,0.259,0.0,0.283,0.26,0.0,0.0,0.291,0.091,0.139,0.105,0.0,0.209,0.0,0.0,0.0
0.249,0.342,0.21,0.119,0.0,0.157,0.0,0.0,0.301,0.263,0.167,0.06,0.0,0.143,0.0,0.114,0.218
0.199,0.22,0.0,0.179,0.157,0.217,0.0,0.0,0.0,0.285,0.058,0.175,0.0,0.226,0.0,0.225,0.277
0.242,0.218,0.0,0.218,0.216,0.214,0.418,0.0,0.0,0.286,0.163,0.085,0.087,0.211,0.0,0.203,0.032
0.0,0.0,0.188,0.0,0.281,0.183,0.313,0.0,0.209,0.217,0.104,0.121,0.066,0.19,0.0,0.0,0.0
0.0,0.0,0.184,0.0,0.315,0.26,0.351,0.0,0.249,0.105,0.053,0.076,0.054,0.265,0.0,0.0,0.0
0.205,0.41,0.146,0.102,0.305,0.213,0.275,0.0,0.268,0.268,0.221,0.069,0.056,0.154,0.0,0.205,0.102
0.0,0.0,0.158,0.0,0.187,0.189,0.312,0.0,0.208,0.17,0.107,0.0,0.075,0.271,0.0,0.0,0.0
0.0,0.0,0.14,0.0,0.186,0.154,0.367,0.223,0.2,0.14,0.222,0.04,0.0,0.216,0.0,0.0,0.0
0.0,0.0,0.187,0.0,0.236,0.093,0.38,0.0,0.173,0.17,0.309,0.133,0.035,0.235,0.0,0.0,0.0
0.216,0.405,0.188,0.291,0.19,0.197,0.272,0.216,0.236,0.22,0.158,0.022,0.0,0.202,0.0,0.0,0.0
0.0,0.169,0.0,0.181,0.296,0.0,0.325,0.301,0.0,0.0,0.189,0.094,0.153,0.2,0.0,0.224,0.0
