DelonWright,JalenJohnson,SharifeCooper,KevinHuerter,SkylarMays,KevinKnoxII,LouWilliams,TimotheLuwawu-Cabarrot,DaniloGallinari,GorguiDieng,TraeYoung,De'AndreHunter,BogdanBogdanovic,ClintCapela,OnyekaOkongwu,JohnCollins,ChaundeeBrown
0.11,0.444,0.333,0.19,0.111,0.0,0.0,0.111,0.0,0.146,0.309,0.171,0.177,0.151,0.0,0.163,0.0
0.187,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.12,0.307,0.208,0.103,0.209,0.0,0.167,0.0
0.066,0.2,0.2,0.154,0.0,0.0,0.181,0.6,0.0,0.174,0.33,0.0,0.166,0.048,0.0,0.357,0.0
0.169,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.194,0.172,0.365,0.186,0.178,0.159,0.0,0.183,0.0
0.184,0.0,0.0,0.146,0.0,0.0,0.224,0.0,0.098,0.15,0.268,0.163,0.151,0.158,0.0,0.207,0.0
0.229,0.229,0.0,0.167,0.306,0.0,0.134,0.153,0.282,0.097,0.252,0.242,0.191,0.183,0.0,0.129,0.0
0.07,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.247,0.162,0.346,0.209,0.136,0.144,0.0,0.151,0.0
0.0,0.0,0.0,0.192,0.0,0.0,0.204,0.0,0.182,0.286,0.333,0.197,0.188,0.116,0.0,0.181,0.0
0.0,0.148,0.0,0.233,0.296,0.0,0.336,0.296,0.126,0.16,0.348,0.175,0.117,0.145,0.0,0.164,0.0
0.0,0.0,0.0,0.148,0.0,0.0,0.304,0.0,0.124,0.127,0.332,0.124,0.265,0.178,0.0,0.172,0.0
0.191,0.0,0.0,0.205,0.0,0.0,0.0,0.451,0.218,0.09,0.335,0.208,0.223,0.13,0.0,0.137,0.0
0.164,0.0,0.0,0.244,0.0,0.0,0.134,0.2,0.125,0.087,0.373,0.0,0.0,0.15,0.0,0.159,0.0
0.059,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.184,0.34,0.328,0.126,0.204,0.174,0.0,0.26,0.0
0.065,0.4,0.2,0.142,0.2,0.0,0.253,0.0,0.128,0.093,0.416,0.0,0.114,0.171,0.0,0.25,0.0
0.089,0.0,0.0,0.163,0.5,0.0,0.304,0.5,0.151,0.0,0.364,0.0,0.197,0.167,0.0,0.249,0.0
0.104,0.0,0.0,0.136,0.0,0.0,0.243,0.0,0.165,0.0,0.297,0.0,0.176,0.126,0.0,0.208,0.0
0.065,0.0,0.0,0.165,0.0,0.0,0.187,0.0,0.177,0.134,0.304,0.0,0.185,0.221,0.0,0.173,0.0
0.128,0.0,0.0,0.154,0.0,0.0,0.264,0.667,0.135,0.0,0.369,0.0,0.22,0.158,0.0,0.134,0.0
0.139,0.0,0.0,0.156,0.0,0.0,0.306,0.106,0.162,0.355,0.34,0.0,0.184,0.147,0.0,0.191,0.0
0.104,0.0,0.0,0.12,0.0,0.0,0.239,0.139,0.123,0.309,0.353,0.0,0.103,0.237,0.0,0.246,0.0
0.241,0.0,0.0,0.165,0.0,0.0,0.224,0.183,0.213,0.0,0.329,0.0,0.183,0.177,0.0,0.138,0.0
0.252,0.0,0.0,0.196,0.0,0.0,0.297,0.104,0.165,0.0,0.393,0.0,0.0,0.14,0.0,0.131,0.0
0.031,0.0,0.0,0.164,0.0,0.0,0.366,0.079,0.24,0.084,0.379,0.0,0.0,0.17,0.0,0.202,0.0
0.034,0.0,0.0,0.203,0.0,0.0,0.16,0.108,0.209,0.0,0.332,0.0,0.0,0.124,0.0,0.292,0.0
0.063,0.0,0.0,0.166,0.0,0.0,0.183,0.201,0.241,0.149,0.335,0.0,0.0,0.134,0.0,0.187,0.0
0.135,0.0,0.0,0.169,0.0,0.0,0.196,0.099,0.189,0.0,0.423,0.0,0.0,0.131,0.0,0.181,0.0
0.067,0.0,0.0,0.124,0.0,0.0,0.359,0.132,0.149,0.268,0.388,0.0,0.0,0.143,0.0,0.222,0.0
0.086,0.0,0.6,0.175,0.0,0.0,0.36,0.112,0.177,0.07,0.359,0.0,0.0,0.117,0.0,0.203,0.0
0.141,0.0,0.338,0.133,0.0,0.0,0.222,0.084,0.189,0.113,0.416,0.0,0.0,0.192,0.191,0.212,0.0
0.138,0.221,0.203,0.0,0.107,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.196,0.0,0.163,0.259,0.0
0.078,0.092,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.333,0.0,0.144,0.217,0.0
0.182,0.155,0.0,0.0,0.232,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.181,0.175,0.0,0.288,0.0
0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.173,0.329,0.0,0.166,0.156,0.0,0.0,0.114
0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.213,0.0,0.0,0.182
0.0,0.0,0.0,0.0,0.222,0.0,0.21,0.0,0.0,0.0,0.342,0.0,0.0,0.187,0.0,0.0,0.137
0.078,0.0,0.0,0.205,0.149,0.0,0.183,0.166,0.197,0.0,0.401,0.0,0.0,0.143,0.115,0.0,0.0
