DonovanWilliams,BrunoFernando,JalenJohnson,TrentForrest,AaronHoliday,DejounteMurray,TraeYoung,De'AndreHunter,BogdanBogdanovic,AJGriffin,ClintCapela,OnyekaOkongwu,JohnCollins,TyreseMartin,GarrisonMathews,VitKrejci,SaddiqBey
0.0,0.0,0.131,0.0,0.177,0.23,0.324,0.208,0.0,0.0,0.064,0.202,0.203,0.0,0.0,0.0,0.0
0.0,0.0,0.181,0.0,0.089,0.257,0.374,0.168,0.0,0.0,0.081,0.104,0.199,0.0,0.0,0.0,0.0
0.0,0.0,0.134,0.0,0.154,0.212,0.368,0.175,0.0,0.288,0.147,0.184,0.168,0.25,0.0,0.0,0.0
0.0,0.0,0.15,0.0,0.225,0.231,0.306,0.196,0.0,0.0,0.137,0.105,0.206,0.0,0.0,0.0,0.0
0.0,0.0,0.111,0.0,0.128,0.268,0.358,0.257,0.0,0.505,0.149,0.207,0.094,0.2,0.0,0.0,0.0
0.0,0.0,0.172,0.0,0.053,0.247,0.427,0.192,0.0,0.154,0.153,0.168,0.096,0.0,0.0,0.0,0.0
0.0,0.0,0.162,0.157,0.05,0.272,0.337,0.202,0.0,0.09,0.161,0.157,0.168,0.157,0.0,0.235,0.0
0.0,0.0,0.033,0.0,0.141,0.316,0.328,0.248,0.0,0.091,0.137,0.083,0.172,0.5,0.0,0.0,0.0
0.0,0.0,0.268,0.0,0.102,0.27,0.362,0.163,0.0,0.0,0.182,0.08,0.068,0.0,0.0,0.0,0.0
0.0,0.0,0.124,0.127,0.079,0.332,0.0,0.253,0.0,0.209,0.131,0.243,0.184,0.0,0.0,0.41,0.0
0.0,0.0,0.096,0.0,0.143,0.245,0.316,0.2,0.0,0.2,0.22,0.079,0.124,0.0,0.0,0.0,0.0
0.0,0.0,0.148,0.0,0.086,0.178,0.384,0.205,0.0,0.12,0.22,0.136,0.241,0.0,0.0,0.0,0.0
0.0,0.0,0.213,0.0,0.142,0.245,0.332,0.24,0.0,0.263,0.16,0.0,0.086,0.0,0.0,0.0,0.0
0.0,0.0,0.083,0.0,0.094,0.216,0.282,0.257,0.0,0.196,0.19,0.127,0.217,0.0,0.0,0.0,0.0
0.0,0.0,0.427,0.0,0.261,0.256,0.361,0.173,0.0,0.205,0.094,0.076,0.187,0.078,0.0,0.078,0.0
0.0,0.0,0.085,0.0,0.052,0.224,0.282,0.232,0.0,0.225,0.163,0.074,0.125,0.0,0.0,0.0,0.0
